//DANE ODCZYTYWANE I PODAWANE SĄ CO OKREŚLONĄ PRĘDKOŚĆ W GRZE (DOMYŚLNIE JEST TO CO 0.1s)

Data rozpoczęcia logow: 16.02.2023 21:40:21
Pozycja paletki: -4,99999904632568 | Pozycja pilki: -4 | Wynik: 1(prawidlowy)
Pozycja paletki: -3,59999966621399 | Pozycja pilki: -4 | Wynik: 1(nieprawidlowy)
Pozycja paletki: -2,19999933242798 | Pozycja pilki: -4 | Wynik: 1(nieprawidlowy)
Pozycja paletki: -0,799999117851257 | Pozycja pilki: -4 | Wynik: 1(nieprawidlowy)
Pozycja paletki: -0,199999138712883 | Pozycja pilki: -4 | Wynik: -1(prawidlowy)
Pozycja paletki: -1,59999918937683 | Pozycja pilki: -4 | Wynik: 1(nieprawidlowy)
Pozycja paletki: -0,199999138712883 | Pozycja pilki: -4 | Wynik: -1(prawidlowy)
Pozycja paletki: -1,59999918937683 | Pozycja pilki: -4 | Wynik: 1(nieprawidlowy)
Pozycja paletki: -0,199999138712883 | Pozycja pilki: -4 | Wynik: -1(prawidlowy)
Pozycja paletki: -1,59999918937683 | Pozycja pilki: -4 | Wynik: 1(nieprawidlowy)
Pozycja paletki: -0,199999138712883 | Pozycja pilki: -4 | Wynik: -1(prawidlowy)
Pozycja paletki: -1,59999918937683 | Pozycja pilki: -4 | Wynik: 1(nieprawidlowy)
Pozycja paletki: -0,199999138712883 | Pozycja pilki: -4 | Wynik: -1(prawidlowy)
Pozycja paletki: -1,59999918937683 | Pozycja pilki: -4 | Wynik: 1(nieprawidlowy)
Pozycja paletki: -0,199999138712883 | Pozycja pilki: -4 | Wynik: -1(prawidlowy)
Pozycja paletki: -1,59999918937683 | Pozycja pilki: -4 | Wynik: 1(nieprawidlowy)
Pozycja paletki: -0,199999138712883 | Pozycja pilki: -4 | Wynik: -1(prawidlowy)
Pozycja paletki: -1,59999918937683 | Pozycja pilki: -4 | Wynik: 1(nieprawidlowy)
Pozycja paletki: -0,199999138712883 | Pozycja pilki: -4 | Wynik: -1(prawidlowy)
Pozycja paletki: -1,59999918937683 | Pozycja pilki: -4 | Wynik: 1(nieprawidlowy)
Pozycja paletki: -0,199999138712883 | Pozycja pilki: -4 | Wynik: -1(prawidlowy)
Pozycja paletki: -1,59999918937683 | Pozycja pilki: -4 | Wynik: 1(nieprawidlowy)
Pozycja paletki: -0,199999138712883 | Pozycja pilki: -4 | Wynik: -1(prawidlowy)
Pozycja paletki: -1,59999918937683 | Pozycja pilki: -4 | Wynik: 1(nieprawidlowy)
Pozycja paletki: -0,199999138712883 | Pozycja pilki: -4 | Wynik: -1(prawidlowy)
Pozycja paletki: -1,59999918937683 | Pozycja pilki: -4 | Wynik: 1(nieprawidlowy)
Pozycja paletki: -0,199999138712883 | Pozycja pilki: -4 | Wynik: -1(prawidlowy)
Pozycja paletki: -1,59999918937683 | Pozycja pilki: -4 | Wynik: 1(nieprawidlowy)
Pozycja paletki: -0,199999138712883 | Pozycja pilki: -4,20945978164673 | Wynik: -1(prawidlowy)
Pozycja paletki: -1,59999918937683 | Pozycja pilki: -4,49608182907104 | Wynik: 1(nieprawidlowy)
Pozycja paletki: -0,199999138712883 | Pozycja pilki: -4,78270387649536 | Wynik: -1(prawidlowy)
Pozycja paletki: -1,59999918937683 | Pozycja pilki: -5,06932592391968 | Wynik: 1(nieprawidlowy)
Pozycja paletki: -0,199999138712883 | Pozycja pilki: -5,35594797134399 | Wynik: -1(prawidlowy)
Pozycja paletki: -1,59999918937683 | Pozycja pilki: -5,64257001876831 | Wynik: 1(nieprawidlowy)
Pozycja paletki: -0,199999138712883 | Pozycja pilki: -5,92919206619263 | Wynik: -1(prawidlowy)
Pozycja paletki: -1,59999918937683 | Pozycja pilki: -6,21581411361694 | Wynik: 1(nieprawidlowy)
Pozycja paletki: -0,199999138712883 | Pozycja pilki: -6,50243616104126 | Wynik: -1(prawidlowy)
-----------------------------------------------------

Data rozpoczęcia logow: 16.02.2023 21:40:34
Pozycja paletki: -4,99999904632568 | Pozycja pilki: -4 | Wynik: 1(prawidlowy)
Pozycja paletki: -3,59999966621399 | Pozycja pilki: -4 | Wynik: 1(nieprawidlowy)
-----------------------------------------------------

Data rozpoczęcia logow: 16.02.2023 21:54:33
Pozycja paletki: -4,99999904632568 | Pozycja pilki: -4 | Wynik: 1(prawidlowy)
Pozycja paletki: -3,59999966621399 | Pozycja pilki: -4 | Wynik: -1(prawidlowy)
Pozycja paletki: -4,99999904632568 | Pozycja pilki: -4 | Wynik: 1(prawidlowy)
Pozycja paletki: -3,59999966621399 | Pozycja pilki: -4 | Wynik: -1(prawidlowy)
Pozycja paletki: -4,99999904632568 | Pozycja pilki: -4 | Wynik: 1(prawidlowy)
Pozycja paletki: -3,59999966621399 | Pozycja pilki: -4 | Wynik: -1(prawidlowy)
Pozycja paletki: -4,99999904632568 | Pozycja pilki: -4 | Wynik: 1(prawidlowy)
Pozycja paletki: -3,59999966621399 | Pozycja pilki: -4 | Wynik: -1(prawidlowy)
Pozycja paletki: -4,99999904632568 | Pozycja pilki: -4 | Wynik: 1(prawidlowy)
Pozycja paletki: -3,59999966621399 | Pozycja pilki: -4 | Wynik: -1(prawidlowy)
Pozycja paletki: -4,99999904632568 | Pozycja pilki: -4 | Wynik: 1(prawidlowy)
Pozycja paletki: -3,59999966621399 | Pozycja pilki: -4 | Wynik: -1(prawidlowy)
Pozycja paletki: -4,99999904632568 | Pozycja pilki: -4 | Wynik: 1(prawidlowy)
Pozycja paletki: -3,59999966621399 | Pozycja pilki: -4 | Wynik: -1(prawidlowy)
Pozycja paletki: -4,99999904632568 | Pozycja pilki: -4 | Wynik: 1(prawidlowy)
Pozycja paletki: -3,59999966621399 | Pozycja pilki: -4 | Wynik: -1(prawidlowy)
Pozycja paletki: -4,99999904632568 | Pozycja pilki: -4 | Wynik: 1(prawidlowy)
Pozycja paletki: -3,59999966621399 | Pozycja pilki: -4 | Wynik: -1(prawidlowy)
Pozycja paletki: -4,99999904632568 | Pozycja pilki: -4 | Wynik: 1(prawidlowy)
Pozycja paletki: -3,59999966621399 | Pozycja pilki: -4 | Wynik: -1(prawidlowy)
Pozycja paletki: -4,99999904632568 | Pozycja pilki: -4 | Wynik: 1(prawidlowy)
Pozycja paletki: -3,59999966621399 | Pozycja pilki: -4 | Wynik: -1(prawidlowy)
Pozycja paletki: -4,99999904632568 | Pozycja pilki: -4 | Wynik: 1(prawidlowy)
Pozycja paletki: -3,59999966621399 | Pozycja pilki: -4 | Wynik: -1(prawidlowy)
Pozycja paletki: -4,99999904632568 | Pozycja pilki: -4 | Wynik: 1(prawidlowy)
Pozycja paletki: -3,59999966621399 | Pozycja pilki: -4 | Wynik: -1(prawidlowy)
Pozycja paletki: -4,99999904632568 | Pozycja pilki: -4 | Wynik: 1(prawidlowy)
Pozycja paletki: -3,59999966621399 | Pozycja pilki: -4 | Wynik: -1(prawidlowy)
Pozycja paletki: -4,99999904632568 | Pozycja pilki: -3,79315328598022 | Wynik: 1(prawidlowy)
Pozycja paletki: -3,59999966621399 | Pozycja pilki: -3,50836038589478 | Wynik: -1(nieprawidlowy)
Pozycja paletki: -4,99999904632568 | Pozycja pilki: -3,22356748580933 | Wynik: 1(prawidlowy)
Pozycja paletki: -3,59999966621399 | Pozycja pilki: -2,93877458572388 | Wynik: 1(prawidlowy)
Pozycja paletki: -2,19999933242798 | Pozycja pilki: -2,65398168563843 | Wynik: -1(prawidlowy)
Pozycja paletki: -3,59999966621399 | Pozycja pilki: -2,36918878555298 | Wynik: 1(prawidlowy)
Pozycja paletki: -2,19999933242798 | Pozycja pilki: -2,08439588546753 | Wynik: -1(nieprawidlowy)
Pozycja paletki: -3,59999966621399 | Pozycja pilki: -1,79960358142853 | Wynik: 1(prawidlowy)
Pozycja paletki: -2,19999933242798 | Pozycja pilki: -1,51481151580811 | Wynik: 1(prawidlowy)
Pozycja paletki: -0,799999117851257 | Pozycja pilki: -1,3564395904541 | Wynik: -1(prawidlowy)
Pozycja paletki: -2,19999933242798 | Pozycja pilki: -1,5128800868988 | Wynik: 1(prawidlowy)
Pozycja paletki: -0,799999117851257 | Pozycja pilki: -1,66932058334351 | Wynik: -1(prawidlowy)
Pozycja paletki: -2,19999933242798 | Pozycja pilki: -1,82576107978821 | Wynik: 1(prawidlowy)
Pozycja paletki: -0,799999117851257 | Pozycja pilki: -1,98220157623291 | Wynik: -1(prawidlowy)
Pozycja paletki: -2,19999933242798 | Pozycja pilki: -2,13864207267761 | Wynik: -1(nieprawidlowy)
Pozycja paletki: -3,59999966621399 | Pozycja pilki: -2,29508256912231 | Wynik: 1(prawidlowy)
Pozycja paletki: -2,19999933242798 | Pozycja pilki: -2,45152306556702 | Wynik: -1(prawidlowy)
Pozycja paletki: -3,59999966621399 | Pozycja pilki: -2,60796356201172 | Wynik: 1(prawidlowy)
Pozycja paletki: -2,19999933242798 | Pozycja pilki: -2,76440405845642 | Wynik: -1(prawidlowy)
Pozycja paletki: -3,59999966621399 | Pozycja pilki: -3,22812294960022 | Wynik: 1(prawidlowy)
Pozycja paletki: -2,19999933242798 | Pozycja pilki: -3,80780911445618 | Wynik: -1(prawidlowy)
Pozycja paletki: -3,59999966621399 | Pozycja pilki: -4,38749551773071 | Wynik: -1(prawidlowy)
Pozycja paletki: -4,99999904632568 | Pozycja pilki: -4,96718168258667 | Wynik: -1(nieprawidlowy)
Pozycja paletki: -6,39999771118164 | Pozycja pilki: -5,54686784744263 | Wynik: 1(prawidlowy)
Pozycja paletki: -4,99999904632568 | Pozycja pilki: -6,12655401229858 | Wynik: -1(prawidlowy)
Pozycja paletki: -6,39999771118164 | Pozycja pilki: -6,70624017715454 | Wynik: -1(prawidlowy)
Pozycja paletki: -7,59999656677246 | Pozycja pilki: -7,2859263420105 | Wynik: -1(nieprawidlowy)
Pozycja paletki: -7,59999656677246 | Pozycja pilki: -7,86561250686646 | Wynik: -1(prawidlowy)
Pozycja paletki: -7,59999656677246 | Pozycja pilki: -8,05842304229736 | Wynik: -1(prawidlowy)
Pozycja paletki: -7,59999656677246 | Pozycja pilki: -8,38426399230957 | Wynik: -1(prawidlowy)
Pozycja paletki: -7,59999656677246 | Pozycja pilki: -7,97938776016235 | Wynik: -1(prawidlowy)
Pozycja paletki: -7,59999656677246 | Pozycja pilki: -7,57450866699219 | Wynik: -1(nieprawidlowy)
Pozycja paletki: -7,59999656677246 | Pozycja pilki: -7,16962957382202 | Wynik: -1(nieprawidlowy)
Pozycja paletki: -7,59999656677246 | Pozycja pilki: -6,76475048065186 | Wynik: 1(prawidlowy)
Pozycja paletki: -6,1999979019165 | Pozycja pilki: -6,35987138748169 | Wynik: -1(prawidlowy)
Pozycja paletki: -7,59999656677246 | Pozycja pilki: -5,95499229431152 | Wynik: 1(prawidlowy)
Pozycja paletki: -6,1999979019165 | Pozycja pilki: -5,55011320114136 | Wynik: 1(prawidlowy)
Pozycja paletki: -4,79999923706055 | Pozycja pilki: -5,08091688156128 | Wynik: -1(prawidlowy)
Pozycja paletki: -6,1999979019165 | Pozycja pilki: -4,24198913574219 | Wynik: 1(prawidlowy)
Pozycja paletki: -4,79999923706055 | Pozycja pilki: -3,4030613899231 | Wynik: 1(prawidlowy)
Pozycja paletki: -3,39999961853027 | Pozycja pilki: -2,564133644104 | Wynik: 1(prawidlowy)
Pozycja paletki: -1,99999928474426 | Pozycja pilki: -1,72520554065704 | Wynik: 1(prawidlowy)
Pozycja paletki: -0,599999129772186 | Pozycja pilki: -0,886276960372925 | Wynik: -1(prawidlowy)
Pozycja paletki: -1,99999928474426 | Pozycja pilki: -0,0473484992980957 | Wynik: 1(prawidlowy)
Pozycja paletki: -0,599999129772186 | Pozycja pilki: 0,41146793961525 | Wynik: 1(prawidlowy)
Pozycja paletki: -0,199999138712883 | Pozycja pilki: -0,426316767930985 | Wynik: -1(prawidlowy)
Pozycja paletki: -1,59999918937683 | Pozycja pilki: -1,26194202899933 | Wynik: 1(prawidlowy)
Pozycja paletki: -0,199999138712883 | Pozycja pilki: -0,78866183757782 | Wynik: -1(prawidlowy)
Pozycja paletki: -1,59999918937683 | Pozycja pilki: -0,315381735563278 | Wynik: 1(prawidlowy)
Pozycja paletki: -0,199999138712883 | Pozycja pilki: 0,157898277044296 | Wynik: 1(prawidlowy)
Pozycja paletki: -0,199999138712883 | Pozycja pilki: 0,569721162319183 | Wynik: 1(prawidlowy)
Pozycja paletki: -0,199999138712883 | Pozycja pilki: 0,0952845737338066 | Wynik: 1(prawidlowy)
Pozycja paletki: -0,199999138712883 | Pozycja pilki: -0,379151999950409 | Wynik: -1(prawidlowy)
Pozycja paletki: -1,59999918937683 | Pozycja pilki: -0,853588700294495 | Wynik: 1(prawidlowy)
Pozycja paletki: -0,199999138712883 | Pozycja pilki: -1,32802546024323 | Wynik: -1(prawidlowy)
Pozycja paletki: -1,59999918937683 | Pozycja pilki: -1,80649161338806 | Wynik: -1(prawidlowy)
Pozycja paletki: -2,99999952316284 | Pozycja pilki: -2,37558150291443 | Wynik: 1(prawidlowy)
Pozycja paletki: -1,59999918937683 | Pozycja pilki: -2,94467163085938 | Wynik: -1(prawidlowy)
Pozycja paletki: -2,99999952316284 | Pozycja pilki: -3,51376175880432 | Wynik: -1(prawidlowy)
Pozycja paletki: -4,39999961853027 | Pozycja pilki: -4,08285140991211 | Wynik: 1(prawidlowy)
Pozycja paletki: -2,99999952316284 | Pozycja pilki: -4,651939868927 | Wynik: -1(prawidlowy)
Pozycja paletki: -4,39999961853027 | Pozycja pilki: -5,22102832794189 | Wynik: -1(prawidlowy)
Pozycja paletki: -5,79999828338623 | Pozycja pilki: -5,79011678695679 | Wynik: -1(nieprawidlowy)
Pozycja paletki: -7,19999694824219 | Pozycja pilki: -6,35920524597168 | Wynik: 1(prawidlowy)
Pozycja paletki: -5,79999828338623 | Pozycja pilki: -7,06090497970581 | Wynik: -1(prawidlowy)
Pozycja paletki: -7,19999694824219 | Pozycja pilki: -8,29862976074219 | Wynik: -1(prawidlowy)
Pozycja paletki: -7,59999656677246 | Pozycja pilki: -7,30440044403076 | Wynik: -1(nieprawidlowy)
Pozycja paletki: -7,59999656677246 | Pozycja pilki: -6,06274652481079 | Wynik: 1(prawidlowy)
Pozycja paletki: -6,1999979019165 | Pozycja pilki: -4,82109260559082 | Wynik: 1(prawidlowy)
Pozycja paletki: -4,79999923706055 | Pozycja pilki: -3,57943868637085 | Wynik: 1(prawidlowy)
Pozycja paletki: -3,39999961853027 | Pozycja pilki: -2,33778476715088 | Wynik: 1(prawidlowy)
Pozycja paletki: -1,99999928474426 | Pozycja pilki: -1,09613013267517 | Wynik: 1(prawidlowy)
Pozycja paletki: -0,599999129772186 | Pozycja pilki: 0,145524248480797 | Wynik: 1(prawidlowy)
Pozycja paletki: -0,199999138712883 | Pozycja pilki: -0,513566613197327 | Wynik: -1(prawidlowy)
Pozycja paletki: -1,59999918937683 | Pozycja pilki: -0,879395246505737 | Wynik: 1(prawidlowy)
Pozycja paletki: -0,199999138712883 | Pozycja pilki: -1,24522387981415 | Wynik: -1(prawidlowy)
Pozycja paletki: -1,59999918937683 | Pozycja pilki: -1,61105251312256 | Wynik: -1(prawidlowy)
Pozycja paletki: -2,99999952316284 | Pozycja pilki: -1,97688114643097 | Wynik: 1(prawidlowy)
Pozycja paletki: -1,59999918937683 | Pozycja pilki: -2,34271049499512 | Wynik: -1(prawidlowy)
Pozycja paletki: -2,99999952316284 | Pozycja pilki: -2,70853996276855 | Wynik: 1(prawidlowy)
Pozycja paletki: -1,59999918937683 | Pozycja pilki: -3,07436943054199 | Wynik: -1(prawidlowy)
Pozycja paletki: -2,99999952316284 | Pozycja pilki: -3,44019889831543 | Wynik: -1(prawidlowy)
Pozycja paletki: -4,39999961853027 | Pozycja pilki: -3,55578112602234 | Wynik: 1(prawidlowy)
Pozycja paletki: -2,99999952316284 | Pozycja pilki: -3,34208965301514 | Wynik: -1(prawidlowy)
Pozycja paletki: -4,39999961853027 | Pozycja pilki: -3,12839818000793 | Wynik: 1(prawidlowy)
Pozycja paletki: -2,99999952316284 | Pozycja pilki: -2,91470670700073 | Wynik: -1(nieprawidlowy)
Pozycja paletki: -4,39999961853027 | Pozycja pilki: -2,70101523399353 | Wynik: 1(prawidlowy)
Pozycja paletki: -2,99999952316284 | Pozycja pilki: -2,48732376098633 | Wynik: 1(prawidlowy)
Pozycja paletki: -1,59999918937683 | Pozycja pilki: -2,27363228797913 | Wynik: -1(prawidlowy)
Pozycja paletki: -2,99999952316284 | Pozycja pilki: -2,05994081497192 | Wynik: 1(prawidlowy)
Pozycja paletki: -1,59999918937683 | Pozycja pilki: -1,84624934196472 | Wynik: -1(prawidlowy)
Pozycja paletki: -2,99999952316284 | Pozycja pilki: -2,31997108459473 | Wynik: 1(prawidlowy)
Pozycja paletki: -1,59999918937683 | Pozycja pilki: -2,90540838241577 | Wynik: -1(prawidlowy)
Pozycja paletki: -2,99999952316284 | Pozycja pilki: -3,49084568023682 | Wynik: -1(prawidlowy)
Pozycja paletki: -4,39999961853027 | Pozycja pilki: -4,07628297805786 | Wynik: 1(prawidlowy)
Pozycja paletki: -2,99999952316284 | Pozycja pilki: -4,66172027587891 | Wynik: -1(prawidlowy)
Pozycja paletki: -4,39999961853027 | Pozycja pilki: -5,24715757369995 | Wynik: -1(prawidlowy)
Pozycja paletki: -5,79999828338623 | Pozycja pilki: -5,832594871521 | Wynik: -1(prawidlowy)
Pozycja paletki: -7,19999694824219 | Pozycja pilki: -6,41803216934204 | Wynik: 1(prawidlowy)
Pozycja paletki: -5,79999828338623 | Pozycja pilki: -7,09423971176147 | Wynik: -1(prawidlowy)
Pozycja paletki: -7,19999694824219 | Pozycja pilki: -7,98848247528076 | Wynik: -1(prawidlowy)
Pozycja paletki: -7,59999656677246 | Pozycja pilki: -7,9566650390625 | Wynik: -1(prawidlowy)
Pozycja paletki: -7,59999656677246 | Pozycja pilki: -7,05831336975098 | Wynik: 1(prawidlowy)
Pozycja paletki: -6,1999979019165 | Pozycja pilki: -6,15996170043945 | Wynik: -1(nieprawidlowy)
Pozycja paletki: -7,59999656677246 | Pozycja pilki: -5,26161003112793 | Wynik: 1(prawidlowy)
Pozycja paletki: -6,1999979019165 | Pozycja pilki: -4,36325836181641 | Wynik: 1(prawidlowy)
Pozycja paletki: -4,79999923706055 | Pozycja pilki: -3,46490669250488 | Wynik: 1(prawidlowy)
Pozycja paletki: -3,39999961853027 | Pozycja pilki: -2,56655502319336 | Wynik: 1(prawidlowy)
Pozycja paletki: -1,99999928474426 | Pozycja pilki: -2,73498201370239 | Wynik: -1(prawidlowy)
Pozycja paletki: -3,39999961853027 | Pozycja pilki: -3,07542538642883 | Wynik: 1(prawidlowy)
Pozycja paletki: -1,99999928474426 | Pozycja pilki: -3,41586875915527 | Wynik: -1(prawidlowy)
Pozycja paletki: -3,39999961853027 | Pozycja pilki: -3,75631213188171 | Wynik: -1(prawidlowy)
Pozycja paletki: -4,79999923706055 | Pozycja pilki: -4,09675598144531 | Wynik: 1(prawidlowy)
Pozycja paletki: -3,39999961853027 | Pozycja pilki: -4,43720102310181 | Wynik: -1(prawidlowy)
Pozycja paletki: -4,79999923706055 | Pozycja pilki: -4,7776460647583 | Wynik: -1(nieprawidlowy)
Pozycja paletki: -6,1999979019165 | Pozycja pilki: -5,11809110641479 | Wynik: 1(prawidlowy)
Pozycja paletki: -4,79999923706055 | Pozycja pilki: -4,99211025238037 | Wynik: -1(prawidlowy)
Pozycja paletki: -6,1999979019165 | Pozycja pilki: -4,51930904388428 | Wynik: 1(prawidlowy)
Pozycja paletki: -4,79999923706055 | Pozycja pilki: -4,04650783538818 | Wynik: 1(prawidlowy)
Pozycja paletki: -3,39999961853027 | Pozycja pilki: -3,57370495796204 | Wynik: -1(prawidlowy)
Pozycja paletki: -4,79999923706055 | Pozycja pilki: -3,10090208053589 | Wynik: 1(prawidlowy)
Pozycja paletki: -3,39999961853027 | Pozycja pilki: -2,62809920310974 | Wynik: 1(prawidlowy)
Pozycja paletki: -1,99999928474426 | Pozycja pilki: -2,15529632568359 | Wynik: -1(prawidlowy)
Pozycja paletki: -3,39999961853027 | Pozycja pilki: -1,68249344825745 | Wynik: 1(prawidlowy)
Pozycja paletki: -1,99999928474426 | Pozycja pilki: -1,07748746871948 | Wynik: 1(prawidlowy)
Pozycja paletki: -0,599999129772186 | Pozycja pilki: -0,15497562289238 | Wynik: 1(prawidlowy)
Pozycja paletki: -0,199999138712883 | Pozycja pilki: 0,43032830953598 | Wynik: 1(prawidlowy)
Pozycja paletki: -0,199999138712883 | Pozycja pilki: -0,490905165672302 | Wynik: -1(prawidlowy)
Pozycja paletki: -1,59999918937683 | Pozycja pilki: -1,41213870048523 | Wynik: 1(prawidlowy)
Pozycja paletki: -0,199999138712883 | Pozycja pilki: -2,33337187767029 | Wynik: -1(prawidlowy)
Pozycja paletki: -1,59999918937683 | Pozycja pilki: -3,25460457801819 | Wynik: -1(prawidlowy)
Pozycja paletki: -2,99999952316284 | Pozycja pilki: -4,17583751678467 | Wynik: -1(prawidlowy)
Pozycja paletki: -4,39999961853027 | Pozycja pilki: -5,12158393859863 | Wynik: -1(prawidlowy)
Pozycja paletki: -5,79999828338623 | Pozycja pilki: -6,19676542282104 | Wynik: -1(prawidlowy)
Pozycja paletki: -7,19999694824219 | Pozycja pilki: -7,27194690704346 | Wynik: -1(prawidlowy)
Pozycja paletki: -7,59999656677246 | Pozycja pilki: -8,34712791442871 | Wynik: -1(prawidlowy)
